epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.725,1.8809,3.69025,3.37431,1.3904,0.70296,0.12331,0.14022,0.09136,0.70368,0.11987,0.13699,0.0817,1.89412,3.42948,2.28467,1.33561,0.00014422,0.00014422,0.00014422
2,860.356,1.71084,3.1923,1.92357,1.30132,0.53432,0.17717,0.18887,0.11515,0.52158,0.1677,0.17686,0.09605,1.82206,3.3119,1.9143,1.30505,0.000286357,0.000286357,0.000286357
3,1290.06,1.58737,3.08918,1.5743,1.25688,0.45241,0.2053,0.21497,0.13115,0.44833,0.19079,0.20041,0.11166,1.74105,3.2406,1.62385,1.27245,0.000425623,0.000425623,0.000425623
4,1719.39,1.53813,3.02146,1.46126,1.23273,0.42679,0.22971,0.2376,0.14641,0.41831,0.21365,0.21967,0.12416,1.64913,3.16904,1.51223,1.23635,0.00042208,0.00042208,0.00042208
5,2153.46,1.50645,2.97573,1.40032,1.21696,0.37558,0.23726,0.25022,0.15277,0.37114,0.22326,0.23271,0.12854,1.64296,3.13227,1.45681,1.21848,0.000417774,0.000417774,0.000417774
6,2587.48,1.4831,2.94661,1.36175,1.20763,0.37661,0.248,0.24824,0.15213,0.36968,0.23266,0.23177,0.12919,1.64159,3.11389,1.45451,1.21307,0.000413467,0.000413467,0.000413467
7,3020.93,1.46975,2.92733,1.3312,1.1971,0.39582,0.26126,0.26195,0.16024,0.37845,0.24262,0.24322,0.13668,1.61689,3.08964,1.41203,1.21307,0.000409161,0.000409161,0.000409161
8,3454.63,1.46138,2.89955,1.31304,1.19432,0.41039,0.26519,0.26611,0.16159,0.39411,0.24411,0.24479,0.13534,1.6059,3.09331,1.40376,1.2003,0.000404854,0.000404854,0.000404854
9,3884.26,1.43924,2.87002,1.28235,1.1832,0.40349,0.27435,0.27425,0.16683,0.38323,0.24844,0.25093,0.13955,1.59445,3.06839,1.36128,1.20218,0.000400548,0.000400548,0.000400548
10,4319.42,1.43283,2.86525,1.26695,1.1774,0.43012,0.26845,0.27507,0.16708,0.41196,0.24916,0.25259,0.14046,1.57644,3.03783,1.35347,1.19125,0.000396242,0.000396242,0.000396242
11,4753.06,1.42281,2.85287,1.2534,1.17423,0.41342,0.27524,0.27611,0.16867,0.39275,0.25233,0.25267,0.14184,1.57391,3.03634,1.35057,1.19289,0.000391935,0.000391935,0.000391935
12,5180.37,1.41697,2.83639,1.23373,1.16624,0.42614,0.27739,0.28702,0.1749,0.41355,0.25419,0.26435,0.14702,1.57136,3.03081,1.32859,1.19304,0.000387629,0.000387629,0.000387629
13,5605.07,1.40628,2.81589,1.22316,1.16507,0.42324,0.27723,0.28334,0.17245,0.40924,0.25965,0.26001,0.14364,1.57351,3.00693,1.33138,1.18092,0.000383322,0.000383322,0.000383322
14,6036.25,1.40896,2.82403,1.21524,1.16213,0.42479,0.27757,0.28519,0.17627,0.40311,0.25872,0.26263,0.14841,1.58024,3.00316,1.32879,1.17389,0.000379015,0.000379015,0.000379015
15,6468.55,1.39739,2.80334,1.20166,1.158,0.44976,0.28449,0.28936,0.17684,0.42946,0.26279,0.26598,0.1481,1.55277,2.99901,1.31005,1.17661,0.000374709,0.000374709,0.000374709
16,6894.4,1.39708,2.79707,1.19671,1.1583,0.4231,0.28532,0.28756,0.17633,0.40868,0.26224,0.26601,0.14839,1.55817,2.99289,1.30458,1.18149,0.000370403,0.000370403,0.000370403
17,7319.83,1.39295,2.79249,1.19132,1.15582,0.45736,0.28437,0.29196,0.17916,0.44523,0.26618,0.27114,0.15106,1.54913,2.98447,1.28045,1.17402,0.000366096,0.000366096,0.000366096
18,7744.11,1.37984,2.77231,1.17303,1.15185,0.43929,0.28632,0.29575,0.18129,0.42051,0.26246,0.26992,0.15198,1.53853,2.966,1.27979,1.16953,0.00036179,0.00036179,0.00036179
19,8168,1.38296,2.7821,1.16984,1.15043,0.4456,0.29403,0.299,0.18094,0.41803,0.27256,0.27009,0.15018,1.54343,2.96612,1.26573,1.16815,0.000357483,0.000357483,0.000357483
20,8593.45,1.37575,2.76541,1.15888,1.1454,0.43363,0.28526,0.29435,0.17922,0.41469,0.26395,0.26983,0.14839,1.54467,2.97353,1.27765,1.16878,0.000353177,0.000353177,0.000353177
21,9022.67,1.36602,2.74998,1.15562,1.14526,0.45411,0.28611,0.30034,0.18519,0.43931,0.26626,0.27642,0.15424,1.53426,2.9742,1.2689,1.16908,0.00034887,0.00034887,0.00034887
22,9445.89,1.36399,2.74588,1.14529,1.14196,0.43964,0.30084,0.30272,0.18458,0.44285,0.27085,0.27938,0.15484,1.52119,2.94932,1.25758,1.16017,0.000344563,0.000344563,0.000344563
23,9869.35,1.3683,2.75513,1.14444,1.14116,0.46696,0.29334,0.30723,0.18777,0.44701,0.27008,0.28247,0.15673,1.52664,2.95111,1.25286,1.15588,0.000340257,0.000340257,0.000340257
24,10290.1,1.35424,2.72643,1.13042,1.13845,0.46604,0.29271,0.30624,0.18731,0.45242,0.26612,0.27776,0.15503,1.53126,2.94609,1.25399,1.15643,0.000335951,0.000335951,0.000335951
25,10709.4,1.35472,2.72695,1.12564,1.13628,0.46021,0.29168,0.30703,0.18785,0.43905,0.27542,0.28435,0.15752,1.53034,2.94189,1.24201,1.15209,0.000331644,0.000331644,0.000331644
26,11128.4,1.35211,2.71682,1.12178,1.13608,0.4565,0.30097,0.30978,0.18809,0.4464,0.27098,0.28091,0.15678,1.52465,2.94952,1.24148,1.15661,0.000327337,0.000327337,0.000327337
27,11551.8,1.34952,2.72014,1.11749,1.13314,0.45427,0.30066,0.313,0.19179,0.43358,0.27577,0.28579,0.16116,1.50781,2.92774,1.23721,1.15219,0.000323031,0.000323031,0.000323031
28,11985.7,1.34988,2.7178,1.11456,1.13531,0.46093,0.30214,0.31122,0.19037,0.43735,0.27812,0.28456,0.15775,1.50982,2.93183,1.22901,1.1488,0.000318725,0.000318725,0.000318725
29,12420.1,1.34596,2.71456,1.10507,1.13121,0.4652,0.29816,0.31284,0.19127,0.45276,0.27599,0.28838,0.15936,1.51414,2.93069,1.24036,1.15104,0.000314418,0.000314418,0.000314418
30,12851.3,1.34553,2.70691,1.10297,1.13145,0.45631,0.30496,0.31399,0.19277,0.43411,0.28443,0.28963,0.16145,1.51005,2.914,1.22718,1.15855,0.000310111,0.000310111,0.000310111
31,13283.7,1.34051,2.70829,1.1005,1.13184,0.47048,0.29852,0.31483,0.19237,0.4441,0.27595,0.28663,0.15936,1.52157,2.92393,1.23339,1.15259,0.000305805,0.000305805,0.000305805
32,13713.7,1.33264,2.69642,1.09202,1.12562,0.45411,0.30677,0.31348,0.19379,0.42108,0.29097,0.29129,0.16215,1.49568,2.90802,1.215,1.15153,0.000301498,0.000301498,0.000301498
33,14144.6,1.33114,2.68103,1.08796,1.12346,0.47398,0.29881,0.31525,0.19415,0.45182,0.27664,0.28965,0.16223,1.51341,2.91811,1.22126,1.15831,0.000297192,0.000297192,0.000297192
34,14573.9,1.33645,2.69712,1.08846,1.1269,0.46006,0.29778,0.31377,0.19342,0.44002,0.27633,0.28908,0.16143,1.49413,2.91134,1.21871,1.15048,0.000292885,0.000292885,0.000292885
35,15003.6,1.32909,2.68239,1.08245,1.12367,0.46338,0.2988,0.31662,0.19434,0.4396,0.27376,0.28995,0.16096,1.51882,2.90272,1.21583,1.14953,0.000288579,0.000288579,0.000288579
36,15431.6,1.32493,2.68352,1.07799,1.12127,0.46414,0.30686,0.31863,0.1967,0.44754,0.28113,0.29213,0.16366,1.50299,2.902,1.2122,1.14888,0.000284272,0.000284272,0.000284272
37,15863.9,1.3233,2.67891,1.07316,1.12135,0.46667,0.30852,0.32402,0.20074,0.44179,0.28282,0.29689,0.16761,1.49765,2.8983,1.20298,1.14475,0.000279966,0.000279966,0.000279966
38,16293.6,1.31844,2.67031,1.06294,1.11775,0.47814,0.30717,0.32028,0.19659,0.45491,0.28357,0.29477,0.16423,1.49432,2.89666,1.19782,1.14619,0.00027566,0.00027566,0.00027566
39,16722.8,1.31991,2.66529,1.06163,1.11804,0.47723,0.30623,0.32316,0.19895,0.45115,0.2803,0.29263,0.16367,1.49518,2.88769,1.19874,1.13995,0.000271353,0.000271353,0.000271353
40,17149.3,1.31783,2.66739,1.06366,1.11715,0.46379,0.31148,0.31927,0.19624,0.44978,0.27903,0.29099,0.16247,1.49121,2.88733,1.19186,1.14413,0.000267047,0.000267047,0.000267047
41,17581.6,1.30823,2.6454,1.05666,1.11459,0.46231,0.31197,0.32305,0.19793,0.44195,0.28714,0.29534,0.16394,1.49097,2.89266,1.19288,1.14423,0.00026274,0.00026274,0.00026274
42,18016.5,1.30566,2.65292,1.05452,1.11313,0.47106,0.30513,0.31762,0.19563,0.45315,0.28019,0.2899,0.16176,1.48845,2.88976,1.19544,1.13823,0.000258434,0.000258434,0.000258434
43,18457.7,1.31496,2.65996,1.0529,1.11293,0.49664,0.30227,0.32018,0.19706,0.48323,0.27762,0.29441,0.16306,1.48968,2.88796,1.18819,1.14405,0.000254127,0.000254127,0.000254127
44,18886.7,1.31355,2.65807,1.05264,1.11367,0.48583,0.3099,0.32478,0.20015,0.45953,0.28419,0.29701,0.16591,1.48366,2.89655,1.18385,1.14283,0.00024982,0.00024982,0.00024982
45,19319.8,1.30581,2.64966,1.04493,1.11124,0.48198,0.30342,0.32585,0.20185,0.46831,0.28271,0.29914,0.16737,1.48187,2.88205,1.18158,1.13669,0.000245514,0.000245514,0.000245514
46,19755.7,1.30534,2.6316,1.04133,1.11006,0.48388,0.30744,0.32705,0.20117,0.46403,0.28623,0.30119,0.1685,1.48709,2.88091,1.18176,1.14464,0.000241207,0.000241207,0.000241207
47,20189.1,1.29865,2.64168,1.03623,1.10728,0.47521,0.30706,0.32501,0.19854,0.44363,0.28393,0.29529,0.1644,1.48708,2.88041,1.18143,1.14182,0.000236901,0.000236901,0.000236901
48,20618.7,1.3057,2.6455,1.0398,1.10842,0.47208,0.31441,0.32701,0.19969,0.44489,0.28899,0.2979,0.16539,1.48792,2.87633,1.18079,1.14532,0.000232595,0.000232595,0.000232595
49,21045.5,1.29611,2.64022,1.03094,1.10489,0.46891,0.31191,0.32812,0.2024,0.45141,0.28806,0.29938,0.16709,1.48281,2.87481,1.17654,1.14047,0.000228288,0.000228288,0.000228288
50,21470.9,1.2974,2.6229,1.02605,1.10648,0.48082,0.31036,0.32603,0.20085,0.45761,0.28702,0.29854,0.16576,1.47619,2.86748,1.17268,1.13675,0.000223982,0.000223982,0.000223982
51,21897.5,1.29055,2.62607,1.02762,1.10326,0.47659,0.30843,0.32243,0.19939,0.44836,0.28403,0.29671,0.1652,1.48792,2.87914,1.18132,1.14598,0.000219675,0.000219675,0.000219675
52,22330.1,1.29139,2.62004,1.02357,1.10441,0.46847,0.31293,0.32803,0.20146,0.45411,0.28787,0.30135,0.16775,1.47563,2.86174,1.17109,1.1352,0.000215368,0.000215368,0.000215368
53,22754.2,1.28382,2.61266,1.02335,1.1044,0.46715,0.31972,0.33306,0.2038,0.44758,0.29069,0.30344,0.16885,1.47436,2.86134,1.17203,1.13718,0.000211062,0.000211062,0.000211062
54,23179.8,1.28916,2.61313,1.01661,1.10203,0.48342,0.31111,0.32887,0.20328,0.46042,0.28889,0.30378,0.1692,1.47995,2.86558,1.17097,1.13489,0.000206755,0.000206755,0.000206755
55,23612.2,1.284,2.61022,1.01756,1.10312,0.47481,0.31627,0.33149,0.20435,0.45785,0.28653,0.30337,0.16887,1.47947,2.86804,1.16437,1.14058,0.000202449,0.000202449,0.000202449
56,24039,1.28352,2.60779,1.01377,1.1015,0.48391,0.30829,0.3307,0.20338,0.46062,0.28667,0.303,0.16829,1.47873,2.85487,1.16366,1.13293,0.000198142,0.000198142,0.000198142
57,24469.4,1.28751,2.60231,1.01373,1.10158,0.47792,0.31355,0.33426,0.20581,0.4681,0.28916,0.30772,0.17192,1.47581,2.85885,1.16762,1.13764,0.000193836,0.000193836,0.000193836
58,24895.4,1.28696,2.60635,1.00955,1.09788,0.48242,0.31264,0.33087,0.20264,0.46236,0.28578,0.30256,0.16823,1.48417,2.87228,1.17234,1.14259,0.00018953,0.00018953,0.00018953
59,25323.6,1.28045,2.60343,1.00406,1.09796,0.48356,0.31109,0.32798,0.20242,0.47207,0.28215,0.29982,0.16647,1.48475,2.87185,1.17234,1.14185,0.000185223,0.000185223,0.000185223
60,25756.1,1.27556,2.59647,1.00188,1.09653,0.47636,0.32006,0.33455,0.20605,0.47711,0.29189,0.30666,0.16998,1.47117,2.85412,1.15556,1.13625,0.000180917,0.000180917,0.000180917
61,26187.2,1.27105,2.58664,0.99399,1.0938,0.49347,0.31401,0.33545,0.2071,0.47043,0.29148,0.30801,0.17056,1.46571,2.84983,1.15208,1.13678,0.00017661,0.00017661,0.00017661
62,26614.3,1.28051,2.60248,1.00403,1.09825,0.48572,0.31511,0.33169,0.20497,0.45805,0.29477,0.30443,0.16942,1.47087,2.86144,1.15724,1.13801,0.000172304,0.000172304,0.000172304
63,27044.1,1.27364,2.58997,0.99775,1.09673,0.46395,0.31706,0.33134,0.20374,0.46375,0.2886,0.30637,0.16953,1.4751,2.86163,1.16242,1.1345,0.000167997,0.000167997,0.000167997
